序号	类型	标题	第一作者	来源	日期	链接	来源链接	所有作者	摘要	关键词	DOI	导师
0	期刊	基于跨域和高感受野的低剂量计算机断层扫描图像去噪方法	张鲁	激光与光电子学进展	2025-07-22	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJJL1BEr3lWzG3TO10_z_nNZGXjw6rHZKC9IH8SRVveQXMitiRTMwTKnVZiC9a_0zF6nuLKKkWfqYWLCB7p_MxgAUtpdOl8rbgoDStq2a-Mvn3O3m6VCqxVgOLCXUMlWpm5BP60m5muNy8o8txnTShDH2TGedvdN3sDuYDGZBvrQg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5ySUX5towUHSZArgTkj4kxnNkQlclpCV6ZAX1gARNhttdQgVXSKR4Sk6X0FCyh0cwYYydqbA2H0Mb8MTWglQDqIW72I1OSqLGDQ=&uniplatform=NZKPT	张鲁、刘鹏举、刘侍刚	低剂量计算机断层扫描（CT）成像能够有效减少辐射剂量，但伴随的伪影和噪声降低了医疗诊断的准确性。针对这一问题，提出一种基于卷积神经网络和双树复小波变换的低剂量CT图像去噪方法（LDTNet）。该方法利用卷积神经网络在空间域上强大的信息提取能力，同时结合双树复小波变换在频域的多尺度分解特性，有效弥补了传统单一方法在去噪过程中常出现的信息损失问题。此外，该方法的感受野大，能够捕捉到图像中的细微结构和边缘信息，从而使去噪过程更加精细化。使用AAPM数据集进行验证，实验结果表明，LDTNet在峰值信噪比和结构相似性指标上均表现出明显的提升，且视觉评估也展示了LDTNet在噪声抑制和图像细节还原上的优势。	计算机断层扫描;低剂量;图像去噪;卷积神经网络;双树复小波变换;		
1	期刊	频域-时空协同框架下的车辆轨迹预测及意图识别模型	王庆荣	计算机工程与应用	2025-07-21	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJJL1BEr3lWzG3TO10_z_nN-4_E8UdgUlRV_Ju6_El-KAez3Rph2l9iH5f0Rb1Tf0X4zMMGulp3Cxl0l9mnyJGkpCHDupldd-8R08ywQUh2RwOoXanSVzS-cVFvsU6fl56U-xg-cpD4B97RZq_3VL8-FScxj_dOZY8GFWm4CFrGGw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yR06h7KmimVm3hhvG6ZTITFeHt3mwZ8vSKNCyftVPSiqcWSCDxu-x8QzrtmYkW6pp7m9M4Y4jDX3zSk34phIiDeGry99P9HLLU=&uniplatform=NZKPT	王庆荣、韩芳文、朱昌锋、金小龙	针对现有轨迹预测方法在高频噪声干扰下易产生误差累积，且复杂空间交互建模导致计算效率低下的问题，提出一种频域-时空协同预测框架。该方法首先利用多元变分模态分解算法对历史轨迹序列进行解析，并约束其异常扰动，以抑制高频噪声干扰及提取频域特征；其次，采用卷积神经网络与特征缩放的方式增强车辆与周围环境的交互感知；最后，自适应融合多频域轨迹分量与空间交互特征，结合长短时记忆网络和驾驶意图概率向量，利用混合密度网络输出预测轨迹的概率密度分布。在下一代仿真数据集上的实验表明：相较于其它对比模型而言，所提方法均有不同程度的提升，有效实现了频域解析、时序建模及交互感知的协同优化；且在1～5s预测范围内的最大均方误差仅为1.43m，满足复杂交通场景下的轨迹预测需求。	轨迹预测;频域-时空协同;多元变分模态分解;卷积神经网络;混合密度网络;		
2	期刊	基于多粒度特征融合模型的多说话人声纹识别研究	李娅	中南民族大学学报(自然科学版)	2025-07-21	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJJL1BEr3lWzG3TO10_z_nN-4_E8UdgUlQu4lnjEeEM3okUF86aYLFJEz68Sxg1lqkQDiC4vC_CTKRcn1yedKFwf_XQha4zUZ5ruTvBl7O8OU1eCBMXI4ZnZppJJ3c3c_i8nbmRpkE3urMSloPpNQ6o4GrzVR_kxsV2_ohTRYufCg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yR06h7KmimVm3hhvG6ZTITFeHt3mwZ8vSKNCyftVPSiqcWSCDxu-x8QU2KzNzFz2FeYYuRnr-fiqWMwpcYmI0-fM1ka9TVzGsc=&uniplatform=NZKPT	李娅、周斌、胡波	声纹识别是一种通过比对语音中的说话人特征来确认身份的技术.其流程包括从不定长的单人语音片段中提取声学特征，再由模型提取说话人特征，最后通过余弦相似度判断是否为同一说话人.多说话人声纹识别则需从包含多位说话人的音频中识别各自身份，该任务的关键在于提取具判别力的说话人特征.为此提出了多粒度特征融合模型（MGFF-TDNN），在MGFF-TDNN中，首先使用二维深度可分离卷积模块（DSM）作为前端特征提取器，以增强时频域特征的建模.其次，为了实现多粒度特征融合，设计了多粒度融合结构（M-TDNN），采用时延神经网络和音素级特征池化来捕获不同粒度的信息.在VoxCeleb数据集上的实验表明：MGFF-TDNN模型在使用了更少的参数量（4.78M）和计算资源（1.49G的浮点计算量）的情况下，仍表现出良好的性能.	声纹识别;多说话人;多粒度特征融合;深度可分离卷积;	10.20056/j.cnki.ZNMDZK.20250828	
3	期刊	结合CNN和多尺度视觉状态空间的遥感图像语义分割网络	蔺月妮	计算机科学与探索	2025-07-21	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibISnkimIXTb8sFW6c_DJuGpb2MPzVYtpjedeQ0JtpDcmgHOOrRd6pbmsq5S4b0E01vFi2TeZHmrTdIK3I5JybUFy7NH-j8FWalsdub7iWgb1AgWzdsQJ5FGuv1FHhnCZS463Zt_CV3ye8-53Ro3NJzi4Hv6C2UEhOGkACAlYNR28g==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yT6Nfu6FKO31gydrgi9c_rSNQ_gKD9rVLxExhKbNdjIS6QoKDJV5anGOcFYPuunMKPzu9gKHKteZ9HB56CqTTlaVm2JFOaOREM=&uniplatform=NZKPT	蔺月妮、汪西莉	现有的遥感图像语义分割方法面临显著挑战：基于卷积神经网络(Convolutional Neural Network， CNN)的方法缺乏远程建模能力，在复杂遥感场景中的分割性能受限；基于Transformer的方法计算复杂度随输入图像尺寸呈平方级增长，难以兼顾分割性能与计算效率。最近，视觉状态空间模型(Visual State Space， VSS)因其能够以线性计算复杂度建模全局依赖关系而受到广泛关注。针对上述问题提出了一种结合CNN与VSS的遥感图像语义分割网络，旨在同时兼顾性能与效率。首先，网络由基于CNN构成的编码器和基于VSS的解码器组成，用于建模局部信息并捕获远程上下文依赖关系。其次，引入多尺度深度卷积和坐标注意力机制，构建多尺度前馈网络(Multi-Scale Feed-Forward Network， MSFFN)替换原始VSS中的前馈网络(Feed-Forward Network， FFN)，以缓解顺序扫描机制带来的2D图像局部区域空间像素不连续问题，同时增强多尺度特征表示。此外，设计空间通道聚合增强模块(Spatial Channel Aggregated Enhancement Module， SCAEM)，充分融合编码器浅层细节信息和解码器全局语义信息，实现高效特征聚合。最后，使用辅助分割头优化梯度传播和特征学习的方向，促进更准确的分割结果输出。在Vaihingen、Potsdam和LoveDA数据集上与一些先进的语义分割网络进行了对比实验，实验结果表明，提出的网络在这三个公共数据集上的表现优于其他分割网络。	遥感图像;语义分割;视觉状态空间;多尺度特征;卷积神经网络;		
4	期刊	基于编解码结构一维卷积神经网络的焊接坡口轮廓数据实时修复方法	郝思彧	热加工工艺	2025-07-21	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibISnkimIXTb8sFW6c_DJuGpb2MPzVYtpjdVggcq7SR50Mu8WTHa0ZQPg3zA5WUmlgg7OWUT16ecxdJTKJEnJx5rrKjnA9VFFuyBC4c0w_nMf3RGW4mWtPn_4ukj1qh7fwAvVZs84Yh23Qz7gC-VKCpMVovwh0jT3uMxHjsHksDsxw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yT6Nfu6FKO31gydrgi9c_rSNQ_gKD9rVLxExhKbNdjIS6QoKDJV5anGMrnPCVZElPaAG8gWIN0_gwKtLs7pCK0TrtB95BkXSoQ=&uniplatform=NZKPT	郝思彧、陈荣涛、王皖勇、张轲	在焊缝跟踪过程中，强烈的弧光、烟尘、飞溅等的干扰，致使反映坡口形状和位置的坡口轮廓条纹发生跳变、破损和缺失，为后续的特征点提取带来极大的挑战，而传统的图像修复方法算力需求高，适应性差。因此，提出基于编解码结构一维卷积神经网络（1D-CNN）修复方法，通过编码进行特征提取，噪声抑制，通过解码恢复信号长度，重建受损区域，修复缺失数据，从而实现受损轮廓的修复。结果表明：相较于其它方法，一维卷积神经网络在修复精度和计算效率方面均表现出优势，可有效修复焊接过程中受损的坡口轮廓数据。其修复的平均均方差（MSE）仅0.1757，单帧轮廓修复时间不大于0.0031 s，完全满足焊缝实时跟踪要求。	编解码;一维卷积神经网络;轮廓修复;焊缝实时跟踪;	10.14158/j.cnki.1001-3814.25040176	
5	期刊	基于深度学习的稻谷杂质含量检测方法	万嘉诚	中国粮油学报	2025-07-21	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibISnkimIXTb8sFW6c_DJuGpb2MPzVYtpjdw0dwPPEg8tJIkwL9zngd8VZI9MkMN5qLGkaVm-Oy0qGXFlMQiGvGEoH7V7yMo_HwX47QmtfhSyZSUxy4fcufXceZJCMSLDVXkqVE_m6epjjCEouItG32bnercfh8XeU8LCNv2rukXtQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yT6Nfu6FKO31gydrgi9c_rSNQ_gKD9rVLxExhKbNdjIS6QoKDJV5anGrrjrsfOn4v5TD3SI07PggUJIRvTNZanK_IGEEzkZRZM=&uniplatform=NZKPT	万嘉诚、陈祥、高佳苑、毛波	稻谷中的杂质严重影响其品质及粮食安全，依据抽检粮食中的杂质含量，可以对其品质进行不同等级的划分。传统储粮杂质检测手段多数是依赖人工操作筛选器，不仅耗时且成本较高。本研究提出了一种结合纹理增强卷积（TEConv）和优化Bottleneck层的卷积神经网络（CNN）模型，通过T-EConv增强了图像中的纹理特征提取能力，并通过优化Bottleneck层提升了模型的特征表示能力。此外构建了一套基于图像校正、图像分割及图像分类的系统化处理流程，用于高效识别稻谷中的杂质含量。具体而言，针对含有不同杂质的粮食图片，首先使用空间变换技术进行图像校正；随后对校正后的图像进行分割，将得到的小图片根据类别输入到改进后CNN模型中（DenseNet）进行训练；接着通过分析多组杂质面积与质量的比例关系确定拟合密度。实验结果表明，改进后的DenseNet模型验证准确率相较于原始模型提升了1.6%，杂质含量的平均检测误差为0.0296g。	卷积神经网络;杂质识别;杂质含量;DenseNet;	10.20048/j.cnki.issn.1003-0174.001176	
6	期刊	DEC-Net:基于双分支嵌入连接的混凝土裂缝图像分割	王帆	国防交通工程与技术	2025-07-20	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibKALkqFpu0OzHEG3IDhO0Qr5os9X3DYkoc68CFg_KDJHXwl229AyNnY_mQV_-gcGnt5AfuPg5w7DGakAycDU1A947hm8LIQ4DG7Mc8XlbZ2FYKGwZwaG2daCNZIS52kXsHHs2SFKZvhOja_tf9NTRLOjB84xuRKf5fDyC1WQU8cgw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQv3Z8fH7ESfCCMLtBbs8I7RYnFIdcjxrjRErnDv3tT9s3yCP1NQU_BBub5Oz9AVS-Ba40y_Bef7lagpm12eIN_awh1Pv0DClo=&uniplatform=NZKPT	王帆、贾梦晔、王艺萌、曹笑	混凝土建筑易受多重因素影响产生裂缝，影响美观与安全。深度学习因其泛化能力和鲁棒性在裂缝检测中成效显著，但仍面临挑战，尤其是细长裂缝检测。现有模型多依赖卷积神经网络或Transformer为特征提取主干，检测能力有限，为此提出基于双分支嵌入连接的混凝土裂缝图像分割模型。其中，Global Branch提取图像全局上下文信息特征；CNN Branch将原图像经过卷积得到特征图，此过程只改变通道数，而没有下采样，从而保留图片的空间细节信息。通过引入嵌入连接模块将Global Branch全局信息和CNN Branch局部信息进行融合；解码器逐步上采样，恢复特征图至原图大小。实验显示，该模型在Crack500和DeepCrack数据集上F1-Score值分别为77.75%和88.93%,提高了细长裂缝分割精度。	混凝土裂缝;图像分割;CSwin Transformer;双分支编码器;	10.13219/j.gjgyat.2025.04.005	
7	期刊	基于卷积神经网络的花生种皮颜色分类及花青素含量测定	常小丽	植物生理学报	2025-07-20	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibKALkqFpu0OzHEG3IDhO0Qr5os9X3DYkoct0hmBbE-bXxKBNhvtxZUG2RmxfZZBAWhaBseDAfU8yrV5_tL-QaEzda45RjMrs5jjHcPTo1Uj7rKNgeRPrdheR4xOABwbHoTI53Y614IHY6Z0QVOm1H1GZdbPFZt2wLIIbRDGMG39Qw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yQv3Z8fH7ESfCCMLtBbs8I7RYnFIdcjxrjRErnDv3tT9s3yCP1NQU_BwBrUikOvg7D5fFmXw-_HvbDpf7107H6hCFDuKLBvUDQ=&uniplatform=NZKPT	常小丽、张玉松、原小燕、梁永芬、刘丽晶、杨志雄、普兴林、罗延青、赵凯琴、李天林、符明联	花生是我国重要的油料和经济作物,随着花生产业发展的多元化,特色鲜食花生成为产业发展的重要方向。为建立彩色花生种皮颜色智能识别技术和探究花生种皮颜色差异形成的影响因素以满足产业发展需求,本研究采用VGG16预训练模型对花生种皮颜色进行迁移学习,改进的VGG16模型对花生颜色图像的训练准确率达95%,验证准确率达97%,且模型对1 429张新图像的分类测试准确性均在99%以上,准确率较高。对6个不同颜色花生品种的种皮花青素进行测定后发现, 6个品种均未检测到天竺葵素的存在,白色和黑色花生主要含矢车菊素,彩色和粉色花生主要含矢车菊素和锦葵素,紫色花生S3～S6时期主要含矢车菊素, S7～S8时期主要含锦葵素、矮牵牛素和芍药素,红色花生在S5时期开始积累色素,主要含矢车菊素、矮牵牛素和锦葵素等。矢车菊素在6个品种中的含量均较高且积累速率和总花青素基本保持一致,表明花生种皮颜色主要受矢车菊素的影响。	花生;种皮颜色;深度学习;VGG16模型;花青素;积累规律;	10.13592/j.cnki.ppj.200087	
8	期刊	基于数据驱动拓扑参数辨识的配电网状态估计方法	梁俊宇	电力系统及其自动化学报	2025-07-18	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibLPZcaTvWV_Mca7T0TcWmLo_8Ppd0PUFCGtsnbx0dt5AVtdntOJECn9vbTkqmirYmlZUH3tVOF9-PIk1mBXXlWDtigVcjIf6LyU7OtoaJ1P2e4ebEjxRqecK5fskg7wxbTvuhj6iVP7wXujlFA792bjkvE-wJBpAm6Kv1-YhPco9A==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTrPKKFbHdEOY70g1oTRlgpQjXE3_7yJd1tnMQKJN7tkQ2El3V2t8P3ZE34_jdm58PeOkINYH0Fkm5D4Y2szas6oSBuQk_eWVo=&uniplatform=NZKPT	梁俊宇、杨家全、赵翼康	随着分布式能源的广泛接入，配电网运行状态日益复杂，对状态估计精度提出更高要求。然而，传统状态估计方法往往依赖于预设的拓扑参数信息，难以应对网络结构变化和参数不确定性，导致估计精度下降。为此，本文提出了一种基于数据驱动拓扑参数辨识的配电网状态估计方法。首先，通过区域划分减少量测数据需求，并结合LinDistFlow潮流模型构建拓扑标识矩阵，利用矩阵合同变换实现拓扑和线路参数的联合辨识。随后，引入K-means++聚类算法提升模型鲁棒性，并考虑网络损耗优化线路参数估计。接着，基于精确的拓扑和参数信息，采用贝叶斯优化的卷积神经网络进行状态估计。最后，通过在改进后的IEEE 33和IEEE 123节点网络上的仿真实验，验证了所提方法在不同噪声和数据规模下均表现出较高的准确性和鲁棒性。	配电网;拓扑辨识;线路参数估计;状态估计;卷积神经网络;贝叶斯优化;	10.19635/j.cnki.csu-epsa.001685	
9	期刊	基于CLTAttention的大型客站多进站口客流协同预测方法	张馨予	铁道科学与工程学报	2025-07-18	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibLPZcaTvWV_Mca7T0TcWmLo_8Ppd0PUFCGz4zhnpqKbR5NhSqdnBq8xCSNGSYoYO7ISpr9NNwczUVqy1kfzY-dHrCOkoFMgrD2eWAnqA1JpFZlX_jepOoG0bYnwAz4PEfN1cNGwpgntTUzG53thbcgiJAnEPxG34m2Oqg51kVzJMA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTrPKKFbHdEOY70g1oTRlgpQjXE3_7yJd1tnMQKJN7tkQ2El3V2t8P3A7CTVEIAFTSbE7AjENwlDFIVnHkWm-oKkcRT5_lu7VI=&uniplatform=NZKPT	张馨予、史天运、李昊光、李超	大型铁路客站普遍采用多进站口布局，但各进站口客流存在显著的空间异质性。现有管理模式仅能通过售票系统获取宏观客流总量，缺乏对细分进站口分时段客流分布的精准预测，致使资源配置呈现静态化特征，进而导致高峰时段局部通道拥堵、旅客进站效率下降等问题。为提高进站口客流预测精度，支持动态资源配置，提出一种多进站口客流协同预测方法。基于多源数据融合，整合历史售票数据（由历史上车人数模拟）、列车开行计划及闸机数据，构建包含时空流量、周期特征及高峰时段特性的综合数据集。设计CLTAttention预测模型，结合卷积神经网络（CNN）的局部特征提取能力、长短期记忆网络（LSTM）的时序建模优势，以及时间注意力机制的自适应权重分配，实现多进站口客流的时空协同预测。同时，通过动态权重可视化技术增强模型的可解释性。在某枢纽站的实证研究中，CLTAttention模型表现优于单模型及经典组合模型：平均绝对误差（MAE）较次优组合模型（CNN+LSTM）降低4.0%，均方根误差（RMSE）改善6.4%，拟合优度（R2）提升至0.938，验证了模型的高精度与鲁棒性。动态权重可视化进一步揭示了客流分布的时空规律，提升了模型的可理解性。基于预测结果生成的动态资源配置方案，为客站精细化运营提供了理论依据。提出的多源数据融合与CLTAttention模型能够有效提升大型客站多进站口客流协同预测精度，对缓解高峰拥堵、优化资源利用率具有重要实践价值。	大型铁路客站;卷积神经网络(CNN);长短期记忆网络(LSTM);时间注意力机制(TemporalAttention);多进站口客流预测;	10.19713/j.cnki.43-1423/u.T20250772	
