序号	类型	标题	第一作者	来源	日期	链接	来源链接	所有作者	摘要	关键词	DOI	导师
0	期刊	东寨港河口冬季氮营养盐分布及浮游植物氮吸收速率研究	殷静超	海洋环境科学	2025-04-14	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUDhFt9xvLRg5_VdUZAWMWKgrBcXVflsjMz-WoRWBg431Nn9xEHTYbqgtmZy4km7rq9I_SsNoS_6SwTLYzXYiru5lQ2d7GW6PyosbARRVwDGZFQlPIkWJbABDf_mP5Kc1eVTOdkCKlm8mahUDefoN1kjL84VwN_cHGWlVqpmaEgIw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehb48QH7SD231xkFlt3yMILi6mA4uSXjdU6tUms6FZ8tbxi8t616xQhLEqQdKIC9e50FhItfmdKWxqEB3zAGWG4yc7ILdSF_alg=&uniplatform=NZKPT	殷静超、谭佐莉、石彭兰、赵蓉、徐敏、贾仁明、张丽、黄志雄、苏剑钟、高树基				
1	期刊	中国近海近20年来分粒级浮游植物初级生产力时空特征遥感分析	蔡福晟	海洋环境科学	2025-04-10	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU06jiJ5PjFDkp3b6J_3F8qdGAtCTwSnvdB5LUJlF0R7Rktx6Oe3nFRCFB72hnsZt-nRdl8yZLQxMSj0snq-aVILxD7mltbnrqLZg8VRC0SwD7rM5GsUvoZXFQZ7HkUEQCFdZIY0I0p-yzYJpRkAe0shJ4bll4EmshgYdpLrepQWQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaNUMssf2Jk3OWkmYESC5hPFfy9R-Czp31ePMa1J5dhaI-W4jKzLgfaBHoZS0JwS2_xTVMaaFLlyMTV7gQPX2zchqqBVq-atl8=&uniplatform=NZKPT	蔡福晟、王胜强、郎姝燕、贾永君、孙德勇、张海龙				
2	期刊	鄂北工程对封江口水库浮游植物组成影响研究	肖洋	水资源保护	2025-04-08 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXydcqbrG4S1WveYCGx6T6CItKjPgVIso5-AnltHWa97IIimV9GJCUxjcgBoQqYsN7nNELjqZbVA60MSEVugX0dVY-aiWynof4M6KQbo51RInpTB5AFdiaXI4g4-7GHit3TA7drl66mvC8lFiCVhMR5nG7CTvBjW6PReJMWR9tvag==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZzmWBh34-Sa6fWYlZLz6ZWUW81sJVFOzk5W791hRbiYiUZOzQRmMMFKFJ4PJSRkX9jnRtxhLMxxN0Xzg3QLtVD-3zuSqcAOqE=&uniplatform=NZKPT	肖洋、刘金珍、陈诺、王中敏、翟红娟、宋宏炎				
3	期刊	紫贻贝对水体中浮游植物的摄食选择性	阮澳文	烟台大学学报(自然科学与工程版)	2025-04-08 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXydcqbrG4S1WveYCGx6T6CItKjPgVIso4ZtdhyS2ACrhkFXNyJ_n0AP2zTeU3Maiv8cKIds7L9sq1U6jYYAL4tsdgxdvm836sSlGQ7Ux5L8dMLLQ4PUSccHkTRj0wkm8472-gSRz3LYSg0c-TLKFGYf54VHvUACag7U8A3VI0jeA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZzmWBh34-Sa6fWYlZLz6ZWUW81sJVFOzk5W791hRbiYiUZOzQRmMMFDsMQ5AzcUiQ1P1Bwqz5g62UycoUsRKWIXJTXgVP6L4A=&uniplatform=NZKPT	阮澳文、寇士伟、王宏伟、杨龙、张建、李嫒芳、李玉、江涛				
4	期刊	长江干流南京段浮游生物群落结构特征及其与环境因子的关系	郭旭东	环境科学研究	2025-04-03 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVpXci_a2xP0NioZWc916aJavwzLmyTuw3f9tyR7BfMcbeMu3tTE55cf-BDbN3cojg7yVU_gUjpkEU_9Ck_q0R4y2kOCziqAKmVW5SPJOsfIm2Tqmzx3LAfKG8h0FHu8tzFCphrzw_YkY8390XluyldieaboYnleZ-OK7JyTpo6FA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaVefxLdG3eQT2lYUBLQFET13MWiONWZKlmh5mS0x2N7N4-WLivd1Qm7Fy-rIqvgOafKyJXfIhIjF2VZ_31OyZbkXVWweGELaM=&uniplatform=NZKPT	郭旭东、王雨春、曾艳、张静、岑模珊、殷超、陈敬安				
5	期刊	长坑水库浮游植物群落特征及其环境驱动因素分析	林君铠	安徽农业科学	2025-04-01 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWAAYchztVmvoQkUgWNUy_B0mMkDPnmNBVfwph2kxtm_4VQNWYBdQI2oGVtbpH6TggNGFD4GeBhXU39vOZz5Gp6i_eEA-KW1MovvjPxXOs_BvpxrOJbZIfLhIR20X5VHryjch76mJpabsQVDsLzGBh1cm3nQyQk5KKm5ufwRh5Hjw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYbir7KaIbM-D24I6LsnwJqqI3udMqAr5646132Hs4vNL_6gk3VcGHPsDFX2BJO1OWfU-UcYoV-aO9HcJ4q_ZlbmL5BWndJv6g=&uniplatform=NZKPT	林君铠、陈濠鹏、谢锦雄、付小静、幸敏辉、尹成杰				
6	期刊	基于多种方法的赤水河营养物基准制定研究	苗蔚	环境科学研究	2025-03-31 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUA9kNCvh9-I6m_3DYuvyU_L8GU3I_NJBm3Q-sBZjUVh-emZZrckSGW1k6YWyFDPzwi3Xaf9mJe3mPMz4aFGbl-3ZiR20CvsC0uOD0Ej6JvNJ1oMkGLRxOqGmbNd30LSt0Njg8kpffhKfJkCyJ98cTJI-Nvd3bVUbrxPBkZOOxJCA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehY_mPFouwYi79Q9ChPztdPHo24YfwpVe7afQVDYHNBEG3qNsoGtlYUaeLpUY-ojxuLIIfP4moiv-EVR9kIgaQvTpoM5m-_J_NA=&uniplatform=NZKPT	苗蔚、欧延静、吴秋双、张尚弘、闫龙、林小楠				
7	期刊	CO2与敌草隆对小球藻生长和光合生理的复合效应	贺闯	江苏海洋大学学报(自然科学版)	2025-03-28 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUA9kNCvh9-I6m_3DYuvyU_jTPYsCjzVOKkteRU211H0ytSyaDobxBnkb8dcHSTvIlejOTHVjMwVVZANbGj25M7qhHoktgH_WApQXO5xZI5qtBk-6wsH88AckK7QhywNiHrI6AgEyEuGWpHIeJq8z-I_gz5AxoVdxv_A0u2k2u_JQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehY_mPFouwYi79Q9ChPztdPHZgCQ3BUBtdMe1wTjZHSK5iZZhrsARLIc6pV1Ds2jyddJCPeZHeeaDxhW1CE99kjS40oG4EX2fqE=&uniplatform=NZKPT	贺闯、李桢桢、徐军田				
8	期刊	冬季南海海水二甲基硫化物的分布、光化学氧化和海-气通量研究	李尧	中国海洋大学学报(自然科学版)	2025-03-28	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUYTuB7ZdO7eAh6l_2PbtU2ffFAkGfeU6bz0RfBPz56rdWBS-4ElVQeWtlOYfxpsP6lBARnpacnv0-G8vsoCxeXRSK4fRZ6rviOJUUrBBwFmSIBkf_-r2Lxr1YeNxyJ8_0TnIt9qveGPA-38OYfWpSpvf8QPA2jGJXuHOYobb8d-w==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYd4TLvAwagzRHO-yJQ2TdluX3F9eV3GvM9EwwOzfpXfM_zKy6migVnL1XYd0bX6v-fAHviaA_I1J4GeUp4iekgif4GeoraREw=&uniplatform=NZKPT	李尧、杨桂朋、于娟				
9	期刊	秦山岛海域浮游动物群落结构研究	毛成责	杭州师范大学学报(自然科学版)	2025-03-27	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXxLKCzL1h8kKPpyYdTiPyCiidnHcbMINd-nGoEJlvRiFvvQXEcP-4phAPYEpof4-ySK9nMTZK9nq16Kwup4yvlz10L2jESLWTIqz5mIzGReS-76qPRz3OeiOTKh13I2uTzdOYvn5_NiwY4y5zqO8jkV30BQIuaay4LwT3426Ka0Q==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZpvXVJRNjfGs20V8GqLfiFAEZ9qZRbojoKR04heLENT8mpkXZmCpm27Pxw_24RMwofkdUGs46IHDdm7AEZr8JcNPGbOYe-Eyo=&uniplatform=NZKPT	毛成责、魏爱泓、张咏、彭模、卜亚谦、李婧慧、杜永芬、周超凡				
